SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
ASTRON,2024-12-31,119,260.0,44498,90194.0,-54.0,-50.0,N,N,25.0,25.0,7,3,15,6,1,6,7
ATAM,2024-12-31,24,23.0,8284,12518.0,3.0,-33.0,N,N,0.0,-3.389831,3,8,14,1,6,3,11
ATFL,2024-12-31,9,16.0,6222,22096.0,-42.0,-71.0,N,N,4.825737,-2.736318,6,6,13,5,2,8,6
ATGL,2024-12-31,34,25.0,963865,399245.0,35.0,141.0,Y,Y,12.587413,10.652921,7,2,16,3,4,5,9
ATL,2024-12-31,94,120.0,127973,161355.0,-21.0,-20.0,N,N,0.0,-5.882353,6,4,15,3,4,6,8
ATUL,2024-12-31,3,4.0,5533,18528.0,-28.0,-70.0,Y,Y,-1.108498,-3.094141,4,6,15,4,3,8,6
ATULAUTO,2024-12-31,19,18.0,19987,25898.0,3.0,-22.0,N,N,0.823045,-4.669261,7,6,12,2,5,4,10
AUBANK,2024-12-31,56,36.0,1460025,1005119.0,54.0,45.0,Y,Y,3.508772,-1.25523,4,8,13,5,2,7,7
AURIONPRO,2024-12-31,8,8.0,53939,39682.0,-1.0,35.0,N,N,-4.862024,-3.078983,6,4,15,0,7,3,11
AUROPHARMA,2024-12-31,28,22.0,864791,505720.0,25.0,71.0,Y,Y,7.224335,13.480885,6,3,16,6,1,9,5
AURUM,2024-12-31,76,107.0,64705,59168.0,-28.0,9.0,N,N,7.526882,13.636364,7,5,13,1,1,1,1
AUTOAXLES,2024-12-31,4,7.0,3135,5731.0,-30.0,-45.0,N,N,-0.794702,1.904762,4,8,13,3,4,6,8
AUTOBEES,2024-12-31,45,38.0,47524,84210.0,17.0,-43.0,N,N,1.020408,0.0,5,6,14,3,4,6,8
AUTOIETF,2024-12-31,179,181.0,218208,190114.0,0.0,14.0,N,N,0.0,0.0,1,8,16,2,5,5,9
AUTOIND,2024-12-31,19,36.0,15378,53125.0,-46.0,-71.0,N,N,-8.163265,-4.255319,6,3,16,1,6,4,10
AVADHSUGAR,2024-12-31,19,20.0,18211,23380.0,-7.0,-22.0,N,N,-4.385965,-10.655738,6,9,10,3,4,7,7
AVALON,2024-12-31,32,27.0,361885,271201.0,20.0,33.0,N,N,-3.087886,12.087912,6,6,13,2,5,6,8
AVANTEL,2024-12-31,44,52.0,200450,265445.0,-14.0,-24.0,N,N,-4.411765,-1.515152,7,4,14,1,6,4,10
AVANTIFEED,2024-12-31,36,19.0,686726,159537.0,92.0,330.0,N,Y,9.090909,14.741036,7,4,14,2,5,5,9
AVG,2024-12-31,19,31.0,19049,38898.0,-37.0,-51.0,N,N,-4.242424,-8.67052,2,9,14,3,4,5,9
AVL,2024-12-31,20,28.0,31857,102673.0,-26.0,-68.0,N,N,-4.017857,7.5,6,4,15,5,2,11,3
AVONMORE,2024-12-31,480,417.0,1928194,1098796.0,14.0,75.0,N,N,14.285714,14.285714,9,4,12,2,5,3,11
AVTNPL,2024-12-31,52,49.0,46845,42481.0,6.0,10.0,N,N,-3.030303,-3.030303,4,7,14,3,4,5,9
AWFIS,2024-12-31,17,21.0,114397,240679.0,-16.0,-52.0,N,N,1.320132,-2.539683,8,3,14,5,2,7,7
AWHCL,2024-12-31,17,20.0,31285,48219.0,-12.0,-35.0,N,N,-3.333333,-4.044118,5,7,13,1,6,4,10
AWL,2024-12-31,77,63.0,1374974,707478.0,20.0,94.0,N,Y,5.691057,4.0,5,5,15,5,2,6,8
AXISBANK,2024-12-31,32,41.0,3489727,4337050.0,-20.0,-19.0,Y,Y,-0.881057,-3.433476,3,7,15,2,5,4,10
AXISBNKETF,2024-12-31,6,73.0,234,2155.0,-91.0,-89.0,N,N,0.0,-0.452489,3,7,15,2,5,5,9
AXISBPSETF,2024-12-31,212,492.0,87186,227627.0,-56.0,-61.0,N,N,0.0,0.0,1,3,21,2,3,4,7
AXISCETF,2024-12-31,76,34.0,5180,1710.0,123.0,202.0,N,N,0.0,2.083333,4,3,18,3,4,6,8
AXISGOLD,2024-12-31,65,155.0,56186,184331.0,-57.0,-69.0,N,N,0.0,0.0,3,3,19,4,3,8,6
AXISHCETF,2024-12-31,22,38.0,2377,4034.0,-40.0,-41.0,N,N,3.225806,8.474576,6,6,13,4,3,7,7
AXISILVER,2024-12-31,118,150.0,50606,54561.0,-21.0,-7.0,N,N,0.0,-2.631579,6,7,12,2,5,5,8
