TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Bank of India (XNSE:BANKINDIA),BANKINDIA,NSE:BANKINDIA,103.62,104.0,3.3,3.45,110.75,97.25,6.75,6.51%
Bata India Limited (XNSE:BATAINDIA),BATAINDIA,NSE:BATAINDIA,1340.6,1340.0,35.4,33.7,1409.1,1270.9,69.1,5.15%
Bharat Electronics Limited (XNSE:BEL),BEL,NSE:BEL,293.8,295.0,9.0,10.05,314.05,275.95,19.05,6.48%
Berger Paints (I) Limited (XNSE:BERGEPAINT),BERGEPAINT,NSE:BERGEPAINT,444.55,445.0,11.2,11.4,467.6,422.4,22.6,5.08%
Bharat Forge Limited (XNSE:BHARATFORG),BHARATFORG,NSE:BHARATFORG,1325.05,1320.0,41.1,35.35,1396.45,1243.55,76.45,5.77%
Bharti Airtel Limited (XNSE:BHARTIARTL),BHARTIARTL,NSE:BHARTIARTL,1611.75,1620.0,30.65,38.65,1689.3,1550.7,69.3,4.3%
Bharat Heavy Electricals Limited (XNSE:BHEL),BHEL,NSE:BHEL,237.15,235.0,10.05,7.75,252.8,217.2,17.8,7.51%
Biocon Limited (XNSE:BIOCON),BIOCON,NSE:BIOCON,354.8,355.0,10.85,10.9,376.75,333.25,21.75,6.13%
Bosch Limited (XNSE:BOSCHLTD),BOSCHLTD,NSE:BOSCHLTD,34365.05,34500.0,719.75,859.8,36079.55,32920.45,1579.55,4.6%
Bharat Petroleum Corporation Limited (XNSE:BPCL),BPCL,NSE:BPCL,294.2,295.0,9.45,10.1,314.55,275.45,19.55,6.65%
Britannia Industries Limited (XNSE:BRITANNIA),BRITANNIA,NSE:BRITANNIA,4792.7,4800.0,107.9,113.8,5021.7,4578.3,221.7,4.63%
BSE Limited (XNSE:BSE),BSE,NSE:BSE,5317.1,5300.0,261.15,245.3,5806.45,4793.55,506.45,9.52%
BIRLASOFT LIMITED (XNSE:BSOFT),BSOFT,NSE:BSOFT,579.15,580.0,19.0,19.7,618.7,541.3,38.7,6.68%
Computer Age Management Services Limited (XNSE:CAMS),CAMS,NSE:CAMS,5059.75,5100.0,166.35,206.15,5472.5,4727.5,372.5,7.36%
Canara Bank (XNSE:CANBK),CANBK,NSE:CANBK,101.09,101.0,3.2,3.05,107.25,94.75,6.25,6.18%
Can Fin Homes Limited (XNSE:CANFINHOME),CANFINHOME,NSE:CANFINHOME,753.95,750.0,25.55,21.55,797.1,702.9,47.1,6.25%
